Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_API,,,,2022-06-27 20:40:51,2022-06-27 20:41:29,38.504s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC005_Register (With registered email),,,,2022-06-27 20:40:52,2022-06-27 20:40:58,6.016s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC005_Register (With registered email)""))",,,,2022-06-27 20:40:52,2022-06-27 20:40:57,4.958s,PASSED
"verifyResponseStatusCode(response, response_500, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:40:57,2022-06-27 20:40:57,0.047s,PASSED
"verifyElementPropertyValue(response, ""error"", internal_server_error)",,,,2022-06-27 20:40:57,2022-06-27 20:40:58,0.130s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC004_Register (With invalid email format),,,,2022-06-27 20:40:58,2022-06-27 20:40:59,1.281s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC004_Register (With invalid email format)""))",,,,2022-06-27 20:40:58,2022-06-27 20:40:59,0.707s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:40:59,2022-06-27 20:40:59,0.023s,PASSED
"verifyElementPropertyValue(response, ""errors.message.email"", invalid_email_format)",,,,2022-06-27 20:40:59,2022-06-27 20:40:59,0.071s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC003_Register (With invalid method),,,,2022-06-27 20:40:59,2022-06-27 20:41:00,1.325s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC003_Register (With invalid method)""))",,,,2022-06-27 20:40:59,2022-06-27 20:41:00,0.709s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:41:00,2022-06-27 20:41:00,0.012s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-06-27 20:41:00,2022-06-27 20:41:00,0.046s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC002_Register (With empty body value),,,,2022-06-27 20:41:00,2022-06-27 20:41:01,0.939s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC002_Register (With empty body value)""))",,,,2022-06-27 20:41:01,2022-06-27 20:41:01,0.430s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:41:01,2022-06-27 20:41:01,0.006s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-06-27 20:41:01,2022-06-27 20:41:01,0.052s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC001_Register (With valid body value),,,,2022-06-27 20:41:01,2022-06-27 20:41:03,1.893s,FAILED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TCC001_Register (With valid body value)""))",,,,2022-06-27 20:41:02,2022-06-27 20:41:03,1.000s,PASSED
"verifyResponseStatusCode(response, response_200)",,,,2022-06-27 20:41:03,2022-06-27 20:41:03,0.092s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC006_Login (With invalid password),,,,2022-06-27 20:41:03,2022-06-27 20:41:05,1.982s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TCC006_Login (With invalid password)""))",,,,2022-06-27 20:41:04,2022-06-27 20:41:05,0.814s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:41:05,2022-06-27 20:41:05,0.015s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", password_doesnt_match)",,,,2022-06-27 20:41:05,2022-06-27 20:41:05,0.050s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC005_Login (With unregistered email),,,,2022-06-27 20:41:05,2022-06-27 20:41:07,1.557s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TCC005_Login (With unregistered email)""))",,,,2022-06-27 20:41:06,2022-06-27 20:41:07,0.717s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-27 20:41:07,2022-06-27 20:41:07,0.012s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", user_not_found)",,,,2022-06-27 20:41:07,2022-06-27 20:41:07,0.049s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC004_Login (With invalid email format),,,,2022-06-27 20:41:07,2022-06-27 20:41:08,1.301s,PASSED
