Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
03_Class Material,,,,2022-06-30 12:14:52,2022-06-30 12:15:16,23.961s,FAILED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC004_Create Class Material (With invalid token),,,,2022-06-30 12:14:53,2022-06-30 12:14:58,5.427s,FAILED
"response = sendRequest(findTestObject(""01_API/03_Material/SC013_Create Class Material/TC004_Create Class Material (With invalid token)""))",,,,2022-06-30 12:14:54,2022-06-30 12:14:58,4.321s,PASSED
"verifyResponseStatusCode(response, response_403, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:14:58,2022-06-30 12:14:58,0.076s,FAILED
"verifyElementPropertyValue(response, ""error"", ""Forbidden"")",,,,2022-06-30 12:14:58,2022-06-30 12:14:58,0.230s,FAILED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC003_Create Class Material (With invalid class id),,,,2022-06-30 12:14:58,2022-06-30 12:15:00,1.787s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC013_Create Class Material/TC003_Create Class Material (With invalid class id)""))",,,,2022-06-30 12:14:59,2022-06-30 12:15:00,1.093s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:15:00,2022-06-30 12:15:00,0.016s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-06-30 12:15:00,2022-06-30 12:15:00,0.053s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC002_Create Class Material (With empty input),,,,2022-06-30 12:15:00,2022-06-30 12:15:03,2.731s,PASSED
"response = sendRequest(findTestObject(""01_API/03_Material/SC013_Create Class Material/TC002_Create Class Material (With empty input)""))",,,,2022-06-30 12:15:01,2022-06-30 12:15:03,2.086s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:15:03,2022-06-30 12:15:03,0.015s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-06-30 12:15:03,2022-06-30 12:15:03,0.077s,PASSED
,,,,,,,
Test Cases/01_API/03_Class Material/SC013_Create Class Material/TC001_Create Class Material (With valid input),,,,2022-06-30 12:15:03,2022-06-30 12:15:07,3.895s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC012_Get All Class by Page and Size/TC001_Get All Class by Page and Size""))",,,,2022-06-30 12:15:04,2022-06-30 12:15:07,3.126s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 12:15:07,2022-06-30 12:15:07,0.000s,PASSED
