Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
02_Class,,,,2022-06-30 13:17:28,2022-06-30 13:18:13,44.943s,FAILED
,,,,,,,
Test Cases/01_API/02_Class/SC006_Get All Class/TC002_Get All Class (invalid token),,,,2022-06-30 13:17:28,2022-06-30 13:17:35,6.211s,FAILED
"response = sendRequest(findTestObject(""01_API/02_Class/SC006_Get All Class/TC002_Get All Class (invalid token)""))",,,,2022-06-30 13:17:29,2022-06-30 13:17:34,5.183s,PASSED
"verifyResponseStatusCode(response, response_403, CONTINUE_ON_FAILURE)",,,,2022-06-30 13:17:34,2022-06-30 13:17:35,0.089s,FAILED
"verifyElementPropertyValue(response, ""error"", ""Forbidden"")",,,,2022-06-30 13:17:35,2022-06-30 13:17:35,0.168s,FAILED
,,,,,,,
Test Cases/01_API/02_Class/SC006_Get All Class/TC001_Get All Class (With valid input),,,,2022-06-30 13:17:35,2022-06-30 13:17:39,4.449s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC006_Get All Class/TC001_Get All Class (With valid input)""))",,,,2022-06-30 13:17:35,2022-06-30 13:17:39,3.769s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 13:17:39,2022-06-30 13:17:39,0.031s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-06-30 13:17:39,2022-06-30 13:17:39,0.074s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC007_Create A Class/TC003_Create A Class (With invalid token),,,,2022-06-30 13:17:39,2022-06-30 13:17:40,1.124s,FAILED
"response = sendRequest(findTestObject(""01_API/02_Class/SC007_Create A Class/TC003_Create A Class (With invalid token)""))",,,,2022-06-30 13:17:40,2022-06-30 13:17:40,0.512s,PASSED
"verifyResponseStatusCode(response, response_403, CONTINUE_ON_FAILURE)",,,,2022-06-30 13:17:40,2022-06-30 13:17:40,0.021s,FAILED
"verifyElementPropertyValue(response, ""error"", ""Forbidden"")",,,,2022-06-30 13:17:40,2022-06-30 13:17:40,0.062s,FAILED
,,,,,,,
Test Cases/01_API/02_Class/SC007_Create A Class/TC002_Create A Class (With empty field),,,,2022-06-30 13:17:40,2022-06-30 13:17:43,2.978s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC007_Create A Class/TC002_Create A Class (With empty field)""))",,,,2022-06-30 13:17:41,2022-06-30 13:17:43,2.438s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-06-30 13:17:43,2022-06-30 13:17:43,0.015s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-06-30 13:17:43,2022-06-30 13:17:43,0.047s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC007_Create A Class/TC001_Create A Class (With valid input),,,,2022-06-30 13:17:43,2022-06-30 13:17:45,2.015s,PASSED
"response = sendRequest(findTestObject(""01_API/02_Class/SC007_Create A Class/TC001_Create A Class (With valid input)""))",,,,2022-06-30 13:17:44,2022-06-30 13:17:45,1.440s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-06-30 13:17:45,2022-06-30 13:17:45,0.015s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-06-30 13:17:45,2022-06-30 13:17:45,0.047s,PASSED
,,,,,,,
Test Cases/01_API/02_Class/SC008_Get Class By Id/TC003_Get Class By Id (With invalid token),,,,2022-06-30 13:17:45,2022-06-30 13:17:46,0.984s,FAILED
"response = sendRequest(findTestObject(""01_API/02_Class/SC008_Get Class By Id/TC003_Get Class By Id (With invalid token)""))",,,,2022-06-30 13:17:46,2022-06-30 13:17:46,0.428s,PASSED
"verifyResponseStatusCode(response, response_403, CONTINUE_ON_FAILURE)",,,,2022-06-30 13:17:46,2022-06-30 13:17:46,0.022s,FAILED
"verifyElementPropertyValue(response, ""error"", ""Forbidden"")",,,,2022-06-30 13:17:46,2022-06-30 13:17:46,0.048s,FAILED
,,,,,,,
Test Cases/01_API/02_Class/SC008_Get Class By Id/TC002_Get Class By Id (With invalid id),,,,2022-06-30 13:17:46,2022-06-30 13:17:48,1.615s,PASSED
