Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
04_Guidance,,,,2022-07-02 18:44:37,2022-07-02 18:44:55,18.068s,PASSED
,,,,,,,
Test Cases/01_API/04_Guidance/SC016_Request Guidance in Class/TC004_Request Guidance in Class (With invalid classId),,,,2022-07-02 18:44:38,2022-07-02 18:44:44,5.849s,PASSED
"response = sendRequest(findTestObject(""01_API/04_Guidance/SC016_Request Guidance in Class/TC004_Request Guidance in Class (With invalid classId)""))",,,,2022-07-02 18:44:38,2022-07-02 18:44:43,4.994s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-02 18:44:43,2022-07-02 18:44:43,0.046s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""Class not found"")",,,,2022-07-02 18:44:43,2022-07-02 18:44:44,0.199s,PASSED
,,,,,,,
Test Cases/01_API/04_Guidance/SC016_Request Guidance in Class/TC003_Request Guidance in Class (With invalid userId),,,,2022-07-02 18:44:44,2022-07-02 18:44:45,1.851s,PASSED
"response = sendRequest(findTestObject(""01_API/04_Guidance/SC016_Request Guidance in Class/TC003_Request Guidance in Class (With invalid userId)""))",,,,2022-07-02 18:44:44,2022-07-02 18:44:45,1.329s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-02 18:44:45,2022-07-02 18:44:45,0.016s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""User not found"")",,,,2022-07-02 18:44:45,2022-07-02 18:44:45,0.034s,PASSED
,,,,,,,
Test Cases/01_API/04_Guidance/SC016_Request Guidance in Class/TC002_Request Guidance in Class (With invalid token),,,,2022-07-02 18:44:45,2022-07-02 18:44:47,1.167s,PASSED
"response = sendRequest(findTestObject(""01_API/04_Guidance/SC016_Request Guidance in Class/TC002_Request Guidance in Class (With invalid token)""))",,,,2022-07-02 18:44:46,2022-07-02 18:44:47,0.742s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 18:44:47,2022-07-02 18:44:47,0.015s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-07-02 18:44:47,2022-07-02 18:44:47,0.043s,PASSED
,,,,,,,
Test Cases/01_API/04_Guidance/SC016_Request Guidance in Class/TC001_Request Guidance in Class (With valid input),,,,2022-07-02 18:44:47,2022-07-02 18:44:50,3.379s,PASSED
"response = sendRequest(findTestObject(""01_API/04_Guidance/SC016_Request Guidance in Class/TC001_Request Guidance in Class (With valid input)""))",,,,2022-07-02 18:44:47,2022-07-02 18:44:50,2.696s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 18:44:50,2022-07-02 18:44:50,0.016s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-02 18:44:50,2022-07-02 18:44:50,0.053s,PASSED
,,,,,,,
Test Cases/01_API/04_Guidance/SC017_Get All Guidances in Class/TC003_Get All Guidances in Class (With invalid token),,,,2022-07-02 18:44:50,2022-07-02 18:44:51,0.871s,PASSED
"response = sendRequest(findTestObject(""01_API/04_Guidance/SC017_Get All Guidances of Class/TC003_Get All Guidances in Class (With invalid token)""))",,,,2022-07-02 18:44:50,2022-07-02 18:44:51,0.451s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 18:44:51,2022-07-02 18:44:51,0.000s,PASSED
"verifyElementPropertyValue(response, ""errors.message"", ""access denied"")",,,,2022-07-02 18:44:51,2022-07-02 18:44:51,0.016s,PASSED
,,,,,,,
Test Cases/01_API/04_Guidance/SC017_Get All Guidances in Class/TC002_Get All Guidances in Class (With invalid ClassId),,,,2022-07-02 18:44:51,2022-07-02 18:44:54,2.716s,PASSED
"response = sendRequest(findTestObject(""01_API/04_Guidance/SC017_Get All Guidances of Class/TC002_Get All Guidances in Class (With invalid classId)""))",,,,2022-07-02 18:44:51,2022-07-02 18:44:54,2.271s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 18:44:54,2022-07-02 18:44:54,0.016s,PASSED
"verifyElementPropertyValue(response, ""data"", [])",,,,2022-07-02 18:44:54,2022-07-02 18:44:54,0.047s,PASSED
,,,,,,,
Test Cases/01_API/04_Guidance/SC017_Get All Guidances in Class/TC001_Get All Guidances in Class (With valid input),,,,2022-07-02 18:44:54,2022-07-02 18:44:55,1.622s,PASSED
"response = sendRequest(findTestObject(""01_API/04_Guidance/SC017_Get All Guidances of Class/TC001_Get All Guidances in Class (With valid input)""))",,,,2022-07-02 18:44:54,2022-07-02 18:44:55,0.992s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 18:44:55,2022-07-02 18:44:55,0.000s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-02 18:44:55,2022-07-02 18:44:55,0.047s,PASSED
