Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
01_User,,,,2022-07-02 20:31:26,2022-07-02 20:32:01,34.846s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC007_Update User By Id (With invalid token),,,,2022-07-02 20:31:27,2022-07-02 20:31:32,5.155s,FAILED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TCC007_Update User By Id (With invalid token)""))",,,,2022-07-02 20:31:28,2022-07-02 20:31:32,4.223s,PASSED
"verifyResponseStatusCode(response, response_401, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:32,2022-07-02 20:31:32,0.046s,FAILED
"verifyElementPropertyValue(response, """", """")",,,,2022-07-02 20:31:32,2022-07-02 20:31:32,0.049s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC006_Update User By Id (With registered email),,,,2022-07-02 20:31:32,2022-07-02 20:31:34,1.521s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TCC006_Update User By Id (With registered email)""))",,,,2022-07-02 20:31:32,2022-07-02 20:31:33,1.088s,PASSED
"verifyResponseStatusCode(response, response_500, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:33,2022-07-02 20:31:33,0.006s,PASSED
"verifyElementPropertyValue(response, ""error"", internal_server_error)",,,,2022-07-02 20:31:33,2022-07-02 20:31:34,0.071s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC005_Update User By Id (With invalid email format),,,,2022-07-02 20:31:34,2022-07-02 20:31:35,1.529s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TCC005_Update User By Id (With invalid email format)""))",,,,2022-07-02 20:31:34,2022-07-02 20:31:35,1.124s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:35,2022-07-02 20:31:35,0.004s,PASSED
"verifyElementPropertyValue(response, ""errors.message.email"", invalid_email_format)",,,,2022-07-02 20:31:35,2022-07-02 20:31:35,0.028s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC004_Update User By Id (With invalid id),,,,2022-07-02 20:31:35,2022-07-02 20:31:37,1.579s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TCC004_Update User By Id (With invalid id)""))",,,,2022-07-02 20:31:35,2022-07-02 20:31:37,1.194s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:37,2022-07-02 20:31:37,0.009s,PASSED
"verifyElementPropertyValue(response, ""errors.message.message"", user_not_found)",,,,2022-07-02 20:31:37,2022-07-02 20:31:37,0.033s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC003_Update User By Id (With invalid method),,,,2022-07-02 20:31:37,2022-07-02 20:31:38,1.346s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TCC003_Update User By Id (With invalid method)""))",,,,2022-07-02 20:31:37,2022-07-02 20:31:38,0.984s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:38,2022-07-02 20:31:38,0.008s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-07-02 20:31:38,2022-07-02 20:31:38,0.033s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC002_Update User By Id (With empty body value),,,,2022-07-02 20:31:38,2022-07-02 20:31:39,1.106s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TCC002_Update User By Id (With empty body value)""))",,,,2022-07-02 20:31:38,2022-07-02 20:31:39,0.779s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:39,2022-07-02 20:31:39,0.004s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-07-02 20:31:39,2022-07-02 20:31:39,0.029s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC003_Update User By Id/TCC001_Update User By Id (With valid input),,,,2022-07-02 20:31:39,2022-07-02 20:31:41,1.571s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC003_Update User By Id/TCC001_Update User By Id (With valid input)""))",,,,2022-07-02 20:31:39,2022-07-02 20:31:41,1.182s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:41,2022-07-02 20:31:41,0.006s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-02 20:31:41,2022-07-02 20:31:41,0.031s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC004_Get User By Id/TCC003_Get User By Id (Invalid token),,,,2022-07-02 20:31:41,2022-07-02 20:31:41,0.684s,FAILED
"response = sendRequest(findTestObject(""01_API/01_User/SC004_Get User By Id/TCC003_Get User By Id (Invalid token)""))",,,,2022-07-02 20:31:41,2022-07-02 20:31:41,0.372s,PASSED
"verifyResponseStatusCode(response, response_401, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:41,2022-07-02 20:31:41,0.006s,FAILED
"verifyElementPropertyValue(response, """", """")",,,,2022-07-02 20:31:41,2022-07-02 20:31:41,0.014s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC004_Get User By Id/TCC002_Get User By Id (Invalid id),,,,2022-07-02 20:31:41,2022-07-02 20:31:43,1.253s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC004_Get User By Id/TCC002_Get User By Id (Invalid id)""))",,,,2022-07-02 20:31:42,2022-07-02 20:31:43,0.884s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:43,2022-07-02 20:31:43,0.003s,PASSED
"verifyElementPropertyValue(response, ""errors.message.message"", ""Data not found"")",,,,2022-07-02 20:31:43,2022-07-02 20:31:43,0.021s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC004_Get User By Id/TCC001_Get User By Id (With valid id and token),,,,2022-07-02 20:31:43,2022-07-02 20:31:44,1.489s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC004_Get User By Id/TCC001_Get User By Id (With valid id and token)""))",,,,2022-07-02 20:31:43,2022-07-02 20:31:44,1.167s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:44,2022-07-02 20:31:44,0.005s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-02 20:31:44,2022-07-02 20:31:44,0.024s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC005_Get User Class By User Id/TCC004_Get User Class by User Id (With invalid token),,,,2022-07-02 20:31:44,2022-07-02 20:31:45,0.828s,FAILED
"response = sendRequest(findTestObject(""01_API/01_User/SC005_Get User Class By User Id/TCC004_Get User Class by User Id (With invalid token)""))",,,,2022-07-02 20:31:45,2022-07-02 20:31:45,0.354s,PASSED
"verifyResponseStatusCode(response, response_403, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:45,2022-07-02 20:31:45,0.009s,FAILED
"verifyElementPropertyValue(response, ""error"", ""Forbidden"")",,,,2022-07-02 20:31:45,2022-07-02 20:31:45,0.103s,FAILED
,,,,,,,
Test Cases/01_API/01_User/SC005_Get User Class By User Id/TCC003_Get User Class by User Id (With valid id and will_end class),,,,2022-07-02 20:31:45,2022-07-02 20:31:46,1.337s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC005_Get User Class By User Id/TCC003_Get User Class by User Id (With valid id and will_end class)""))",,,,2022-07-02 20:31:45,2022-07-02 20:31:46,0.894s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-02 20:31:46,2022-07-02 20:31:46,0.003s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-02 20:31:46,2022-07-02 20:31:46,0.021s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC005_Get User Class By User Id/TCC002_Get User Class by User Id (With valid id and inactive class),,,,2022-07-02 20:31:46,2022-07-02 20:31:48,1.358s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC005_Get User Class By User Id/TCC002_Get User Class by User Id (With valid id and inactive class)""))",,,,2022-07-02 20:31:47,2022-07-02 20:31:48,1.004s,PASSED
