Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_API,,,,2022-07-16 01:12:18,2022-07-16 01:15:24,3m - 5.399s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC001_Register (With valid body value),,,,2022-07-16 01:12:19,2022-07-16 01:12:24,4.967s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC001_Register (With valid body value)""))",,,,2022-07-16 01:12:19,2022-07-16 01:12:24,4.219s,PASSED
"verifyResponseStatusCode(response, response_200)",,,,2022-07-16 01:12:24,2022-07-16 01:12:24,0.040s,PASSED
"verifyElementPropertyValue(response, ""data.email"", register_email)",,,,2022-07-16 01:12:24,2022-07-16 01:12:24,0.132s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC002_Register (With empty body value),,,,2022-07-16 01:12:24,2022-07-16 01:12:25,1.048s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC002_Register (With empty body value)""))",,,,2022-07-16 01:12:24,2022-07-16 01:12:25,0.479s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-16 01:12:25,2022-07-16 01:12:25,0.039s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-07-16 01:12:25,2022-07-16 01:12:25,0.033s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC003_Register (With invalid method),,,,2022-07-16 01:12:25,2022-07-16 01:12:26,1.029s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC003_Register (With invalid method)""))",,,,2022-07-16 01:12:25,2022-07-16 01:12:26,0.617s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-07-16 01:12:26,2022-07-16 01:12:26,0.006s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-07-16 01:12:26,2022-07-16 01:12:26,0.035s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC004_Register (With invalid email format),,,,2022-07-16 01:12:26,2022-07-16 01:12:27,0.917s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC004_Register (With invalid email format)""))",,,,2022-07-16 01:12:26,2022-07-16 01:12:27,0.480s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-16 01:12:27,2022-07-16 01:12:27,0.012s,PASSED
"verifyElementPropertyValue(response, ""errors.message.email"", invalid_email_format)",,,,2022-07-16 01:12:27,2022-07-16 01:12:27,0.036s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC005_Register (With registered email),,,,2022-07-16 01:12:27,2022-07-16 01:12:29,1.819s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC005_Register (With registered email)""))",,,,2022-07-16 01:12:27,2022-07-16 01:12:29,1.415s,PASSED
"verifyResponseStatusCode(response, response_500, CONTINUE_ON_FAILURE)",,,,2022-07-16 01:12:29,2022-07-16 01:12:29,0.022s,PASSED
"verifyElementPropertyValue(response, ""error"", internal_server_error)",,,,2022-07-16 01:12:29,2022-07-16 01:12:29,0.034s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC001_Login (With valid body value),,,,2022-07-16 01:12:29,2022-07-16 01:12:32,2.993s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC001_Login (With valid body value)""))",,,,2022-07-16 01:12:29,2022-07-16 01:12:32,2.543s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-16 01:12:32,2022-07-16 01:12:32,0.004s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-16 01:12:32,2022-07-16 01:12:32,0.028s,PASSED
