Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_Web,Chrome 103.0.5060.114,,,2022-07-16 22:18:03,2022-07-16 22:35:20,17m - 17.322s,PASSED
,,,,,,,
Test Cases/02_Web/01_Landing Page/SC001_Contact Us/Contact Us,Chrome 103.0.5060.114,,,2022-07-16 22:18:03,2022-07-16 22:18:21,18.422s,PASSED
openBrowser(url_website),Chrome 103.0.5060.114,,,2022-07-16 22:18:04,2022-07-16 22:18:10,6.242s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-16 22:18:10,2022-07-16 22:18:10,0.247s,PASSED
"for ([i = 1, i <= 3, (i++)])",Chrome 103.0.5060.114,,,2022-07-16 22:18:10,2022-07-16 22:18:21,10.437s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-16 22:18:21,2022-07-16 22:18:21,0.850s,PASSED
,,,,,,,
Test Cases/02_Web/02_Auth/SC002_Sign Up/Sign Up,Chrome 103.0.5060.114,,,2022-07-16 22:18:21,2022-07-16 22:19:29,1m - 7.485s,PASSED
openBrowser(url_website),Chrome 103.0.5060.114,,,2022-07-16 22:18:22,2022-07-16 22:18:25,2.844s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-16 22:18:25,2022-07-16 22:18:25,0.160s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC002_Sign Up/button_Sign up""))",Chrome 103.0.5060.114,,,2022-07-16 22:18:25,2022-07-16 22:18:25,0.505s,PASSED
"for ([i = 1, i <= 9, (i++)])",Chrome 103.0.5060.114,,,2022-07-16 22:18:25,2022-07-16 22:19:28,1m - 2.708s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-16 22:19:28,2022-07-16 22:19:29,0.886s,PASSED
,,,,,,,
Test Cases/02_Web/02_Auth/SC003_Sign In/Sign In,Chrome 103.0.5060.114,,,2022-07-16 22:19:29,2022-07-16 22:20:03,34.354s,PASSED
openBrowser(url_website),Chrome 103.0.5060.114,,,2022-07-16 22:19:29,2022-07-16 22:19:33,3.711s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-16 22:19:33,2022-07-16 22:19:33,0.205s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC003_Sign In/button_Login""))",Chrome 103.0.5060.114,,,2022-07-16 22:19:33,2022-07-16 22:19:34,0.505s,PASSED
"for ([i = 1, i <= 5, (i++)])",Chrome 103.0.5060.114,,,2022-07-16 22:19:34,2022-07-16 22:20:02,28.495s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-16 22:20:02,2022-07-16 22:20:03,0.993s,PASSED
,,,,,,,
Test Cases/02_Web/02_Auth/SC004_Logout/TC001_Logout,Chrome 103.0.5060.114,,,2022-07-16 22:20:03,2022-07-16 22:20:26,22.431s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-16 22:20:04,2022-07-16 22:20:16,11.807s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC004_Logout/account""))",Chrome 103.0.5060.114,,,2022-07-16 22:20:16,2022-07-16 22:20:23,7.411s,PASSED
