Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_Mobile,,,,2022-07-18 07:51:46,2022-07-18 08:01:06,9m - 20.088s,FAILED
,,,,,,,
Test Cases/03_Mobile/02_Auth/SC002_Sign Up/Sign Up,,,,2022-07-18 07:51:47,2022-07-18 07:53:59,2m - 12.203s,PASSED
"startExistingApplication(""com.example.capstone_project_lms"", STOP_ON_FAILURE)",,,,2022-07-18 07:51:48,2022-07-18 07:52:10,22.302s,PASSED
"delay(8, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:52:10,2022-07-18 07:52:18,8.117s,PASSED
"tap(findTestObject(""03_Mobile/02_Auth/SC002_Sign Up/a_signup""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:52:18,2022-07-18 07:52:21,2.336s,PASSED
"for ([i = 1, i <= 9, (i++)])",,,,2022-07-18 07:52:21,2022-07-18 07:53:58,1m - 37.621s,PASSED
driver = getDriver(),,,,2022-07-18 07:53:58,2022-07-18 07:53:58,0.000s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 07:53:58,2022-07-18 07:53:59,0.736s,PASSED
,,,,,,,
Test Cases/03_Mobile/02_Auth/SC003_Sign In/Sign In,,,,2022-07-18 07:53:59,2022-07-18 07:55:05,1m - 5.825s,PASSED
"startExistingApplication(id_mobile_apk, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:54:00,2022-07-18 07:54:13,13.485s,PASSED
"delay(8, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:54:13,2022-07-18 07:54:21,8.010s,PASSED
"for ([i = 1, i <= 5, (i++)])",,,,2022-07-18 07:54:21,2022-07-18 07:55:04,42.929s,PASSED
driver = getDriver(),,,,2022-07-18 07:55:04,2022-07-18 07:55:04,0.000s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 07:55:04,2022-07-18 07:55:05,0.781s,PASSED
,,,,,,,
Test Cases/03_Mobile/03_Home/SC006_Join Class/Join Class,,,,2022-07-18 07:55:05,2022-07-18 07:55:51,45.940s,PASSED
"startExistingApplication(""com.example.capstone_project_lms"", CONTINUE_ON_FAILURE)",,,,2022-07-18 07:55:06,2022-07-18 07:55:18,12.664s,PASSED
"for ([i = 1, i <= 3, (i++)])",,,,2022-07-18 07:55:18,2022-07-18 07:55:50,32.011s,PASSED
driver = getDriver(),,,,2022-07-18 07:55:50,2022-07-18 07:55:50,0.015s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 07:55:50,2022-07-18 07:55:51,0.703s,PASSED
,,,,,,,
Test Cases/03_Mobile/03_Home/SC008_Active Class/TC001_View Detail Active Class,,,,2022-07-18 07:55:51,2022-07-18 07:56:16,24.573s,PASSED
"startExistingApplication(""com.example.capstone_project_lms"", CONTINUE_ON_FAILURE)",,,,2022-07-18 07:55:52,2022-07-18 07:56:04,12.270s,PASSED
"tapAndHold(findTestObject(""03_Mobile/03_Home/SC008_Active Class/class""), 0, 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:56:04,2022-07-18 07:56:12,7.833s,PASSED
"verifyElementExist(findTestObject(""03_Mobile/03_Home/SC008_Active Class/class_title""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:56:12,2022-07-18 07:56:15,3.251s,PASSED
driver = getDriver(),,,,2022-07-18 07:56:15,2022-07-18 07:56:15,0.000s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 07:56:15,2022-07-18 07:56:16,0.594s,PASSED
,,,,,,,
Test Cases/03_Mobile/04_My Class/SC009_Class List/TC001_View Detail Class in My Class,,,,2022-07-18 07:56:16,2022-07-18 07:56:40,24.228s,PASSED
"startExistingApplication(""com.example.capstone_project_lms"", CONTINUE_ON_FAILURE)",,,,2022-07-18 07:56:16,2022-07-18 07:56:28,11.762s,PASSED
"tap(findTestObject(""03_Mobile/04_My Class/SC009_Class List/myclass""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:56:28,2022-07-18 07:56:33,5.659s,PASSED
"tapAndHold(findTestObject(""03_Mobile/04_My Class/SC009_Class List/class_object""), 0, 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:56:33,2022-07-18 07:56:36,2.878s,PASSED
"verifyElementExist(findTestObject(""03_Mobile/04_My Class/SC009_Class List/class_title""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:56:36,2022-07-18 07:56:39,2.772s,PASSED
driver = getDriver(),,,,2022-07-18 07:56:39,2022-07-18 07:56:39,0.016s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 07:56:39,2022-07-18 07:56:40,0.719s,PASSED
,,,,,,,
Test Cases/03_Mobile/04_My Class/SC010_Class Members/TC001_View Number of Members in A Class,,,,2022-07-18 07:56:40,2022-07-18 07:57:03,23.293s,PASSED
"startExistingApplication(""com.example.capstone_project_lms"", CONTINUE_ON_FAILURE)",,,,2022-07-18 07:56:40,2022-07-18 07:56:52,11.823s,PASSED
"tapAndHold(findTestObject(""Object Repository/03_Mobile/04_My Class/SC010_Class Members/class_object""), 0, 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:56:52,2022-07-18 07:57:00,7.562s,PASSED
"verifyElementExist(findTestObject(""Object Repository/03_Mobile/04_My Class/SC010_Class Members/number_members""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:00,2022-07-18 07:57:02,2.657s,PASSED
driver = getDriver(),,,,2022-07-18 07:57:02,2022-07-18 07:57:02,0.000s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 07:57:02,2022-07-18 07:57:03,0.766s,PASSED
,,,,,,,
Test Cases/03_Mobile/04_My Class/SC016_View Detail Content Material/TC001_View Detail Content Material,,,,2022-07-18 07:57:03,2022-07-18 07:57:36,32.551s,PASSED
"startExistingApplication(""com.example.capstone_project_lms"", CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:04,2022-07-18 07:57:15,11.766s,PASSED
"tapAndHold(findTestObject(""Object Repository/03_Mobile/04_My Class/SC016_View Detail Content Material/class_object""), 0, 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:15,2022-07-18 07:57:23,8.063s,PASSED
"tap(findTestObject(""03_Mobile/04_My Class/SC016_View Detail Content Material/menu_contents""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:23,2022-07-18 07:57:30,6.683s,PASSED
"tapAndHold(findTestObject(""Object Repository/03_Mobile/04_My Class/SC016_View Detail Content Material/choose_materi1""), 0, 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:30,2022-07-18 07:57:33,2.926s,PASSED
"verifyElementExist(findTestObject(""Object Repository/03_Mobile/04_My Class/SC016_View Detail Content Material/title_materi1""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:33,2022-07-18 07:57:33,0.394s,PASSED
"tap(findTestObject(""Object Repository/03_Mobile/04_My Class/SC016_View Detail Content Material/menu_desc""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:33,2022-07-18 07:57:35,1.078s,PASSED
"verifyElementExist(findTestObject(""Object Repository/03_Mobile/04_My Class/SC016_View Detail Content Material/desc_materi1""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:35,2022-07-18 07:57:35,0.265s,PASSED
driver = getDriver(),,,,2022-07-18 07:57:35,2022-07-18 07:57:35,0.016s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 07:57:35,2022-07-18 07:57:36,0.828s,PASSED
,,,,,,,
Test Cases/03_Mobile/04_My Class/SC017_View Feedback/TC001_View Feedbacks,,,,2022-07-18 07:57:36,2022-07-18 07:58:38,1m - 2.002s,FAILED
"startExistingApplication(""com.example.capstone_project_lms"", CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:36,2022-07-18 07:57:48,12.233s,PASSED
"tapAndHold(findTestObject(""Object Repository/03_Mobile/04_My Class/SC017_View Feedback/class_object""), 0, 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:48,2022-07-18 07:57:56,7.809s,PASSED
"tap(findTestObject(""Object Repository/03_Mobile/04_My Class/SC017_View Feedback/menu_feedback""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:57:56,2022-07-18 07:58:03,6.727s,PASSED
"verifyElementExist(findTestObject(""03_Mobile/04_My Class/SC017_View Feedback/feedback_list""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:58:03,2022-07-18 07:58:37,33.906s,FAILED
driver = getDriver(),,,,2022-07-18 07:58:37,2022-07-18 07:58:37,0.000s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 07:58:37,2022-07-18 07:58:38,0.857s,PASSED
,,,,,,,
Test Cases/03_Mobile/05_History/SC023_View History/TC001_View List of History,,,,2022-07-18 07:58:38,2022-07-18 07:59:28,50.031s,FAILED
"startExistingApplication(""com.example.capstone_project_lms"", CONTINUE_ON_FAILURE)",,,,2022-07-18 07:58:38,2022-07-18 07:58:51,12.493s,PASSED
"tap(findTestObject(""03_Mobile/05_History/SC023_View History/history_menu""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:58:51,2022-07-18 07:58:56,5.151s,PASSED
"verifyElementExist(findTestObject(""03_Mobile/05_History/SC023_View History/history_list""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:58:56,2022-07-18 07:59:27,31.107s,FAILED
driver = getDriver(),,,,2022-07-18 07:59:27,2022-07-18 07:59:27,0.000s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 07:59:27,2022-07-18 07:59:28,0.745s,PASSED
,,,,,,,
Test Cases/03_Mobile/06_Settings/SC024_Edit Profile/Edit Profile,,,,2022-07-18 07:59:28,2022-07-18 08:00:42,1m - 14.183s,PASSED
"startExistingApplication(""com.example.capstone_project_lms"", CONTINUE_ON_FAILURE)",,,,2022-07-18 07:59:28,2022-07-18 07:59:42,13.804s,PASSED
"tap(findTestObject(""03_Mobile/06_Settings/menu_settings""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:59:42,2022-07-18 07:59:48,5.847s,PASSED
"tapAndHold(findTestObject(""03_Mobile/06_Settings/menu_editprofile""), 0, 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 07:59:48,2022-07-18 07:59:51,3.374s,PASSED
"for ([i = 1, i <= 4, (i++)])",,,,2022-07-18 07:59:51,2022-07-18 08:00:41,49.843s,PASSED
driver = getDriver(),,,,2022-07-18 08:00:41,2022-07-18 08:00:41,0.000s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 08:00:41,2022-07-18 08:00:42,0.611s,PASSED
,,,,,,,
Test Cases/03_Mobile/02_Auth/SC004_Logout/TC001_Logout,,,,2022-07-18 08:00:42,2022-07-18 08:01:06,24.282s,PASSED
"startExistingApplication(id_mobile_apk, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:00:42,2022-07-18 08:00:54,11.895s,PASSED
"tap(findTestObject(""03_Mobile/06_Settings/menu_settings""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:00:54,2022-07-18 08:01:00,5.325s,PASSED
"tapAndHold(findTestObject(""03_Mobile/02_Auth/SC004_Logout/signout""), 0, 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:01:00,2022-07-18 08:01:03,3.226s,PASSED
"tap(findTestObject(""03_Mobile/02_Auth/SC004_Logout/signout_ok""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:01:03,2022-07-18 08:01:05,2.412s,PASSED
"verifyElementExist(findTestObject(""03_Mobile/02_Auth/SC004_Logout/welcome_back""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:01:05,2022-07-18 08:01:05,0.260s,PASSED
driver = getDriver(),,,,2022-07-18 08:01:05,2022-07-18 08:01:05,0.001s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 08:01:05,2022-07-18 08:01:06,0.709s,PASSED
