Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_Mobile,,,,2022-07-18 08:08:35,2022-07-18 08:16:46,8m - 10.296s,PASSED
,,,,,,,
Test Cases/03_Mobile/02_Auth/SC002_Sign Up/Sign Up,,,,2022-07-18 08:08:36,2022-07-18 08:10:42,2m - 5.994s,PASSED
"startExistingApplication(""com.example.capstone_project_lms"", STOP_ON_FAILURE)",,,,2022-07-18 08:08:37,2022-07-18 08:08:58,21.339s,PASSED
"delay(8, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:08:58,2022-07-18 08:09:06,8.083s,PASSED
"tap(findTestObject(""03_Mobile/02_Auth/SC002_Sign Up/a_signup""), 0, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:09:06,2022-07-18 08:09:08,1.856s,PASSED
"for ([i = 1, i <= 9, (i++)])",,,,2022-07-18 08:09:08,2022-07-18 08:10:41,1m - 33.219s,PASSED
driver = getDriver(),,,,2022-07-18 08:10:41,2022-07-18 08:10:41,0.000s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 08:10:41,2022-07-18 08:10:42,0.596s,PASSED
,,,,,,,
Test Cases/03_Mobile/02_Auth/SC003_Sign In/Sign In,,,,2022-07-18 08:10:42,2022-07-18 08:11:49,1m - 7.016s,PASSED
"startExistingApplication(id_mobile_apk, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:10:42,2022-07-18 08:10:56,13.242s,PASSED
"delay(8, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:10:56,2022-07-18 08:11:04,8.010s,PASSED
"for ([i = 1, i <= 5, (i++)])",,,,2022-07-18 08:11:04,2022-07-18 08:11:48,44.516s,PASSED
driver = getDriver(),,,,2022-07-18 08:11:48,2022-07-18 08:11:48,0.000s,PASSED
"driver.terminateApp(""com.example.capstone_project_lms"")",,,,2022-07-18 08:11:48,2022-07-18 08:11:49,0.722s,PASSED
,,,,,,,
Test Cases/03_Mobile/03_Home/SC006_Join Class/Join Class,,,,2022-07-18 08:11:49,2022-07-18 08:12:34,44.861s,PASSED
"startExistingApplication(""com.example.capstone_project_lms"", CONTINUE_ON_FAILURE)",,,,2022-07-18 08:11:49,2022-07-18 08:12:01,11.939s,PASSED
"for ([i = 1, i <= 3, (i++)])",,,,2022-07-18 08:12:01,2022-07-18 08:12:33,31.685s,PASSED
driver = getDriver(),,,,2022-07-18 08:12:33,2022-07-18 08:12:33,0.000s,PASSED
