Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_API,,,,2022-07-18 08:49:26,2022-07-18 08:52:34,3m - 8.146s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC001_Register (With valid body value),,,,2022-07-18 08:49:27,2022-07-18 08:49:33,6.688s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC001_Register (With valid body value)""))",,,,2022-07-18 08:49:28,2022-07-18 08:49:33,5.588s,PASSED
"verifyResponseStatusCode(response, response_200)",,,,2022-07-18 08:49:33,2022-07-18 08:49:33,0.034s,PASSED
"verifyElementPropertyValue(response, ""data.email"", register_email)",,,,2022-07-18 08:49:33,2022-07-18 08:49:33,0.161s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC002_Register (With empty body value),,,,2022-07-18 08:49:33,2022-07-18 08:49:34,1.172s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC002_Register (With empty body value)""))",,,,2022-07-18 08:49:34,2022-07-18 08:49:34,0.479s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:49:34,2022-07-18 08:49:34,0.056s,PASSED
"verifyElementPropertyValue(response, ""status"", ""false"")",,,,2022-07-18 08:49:34,2022-07-18 08:49:34,0.092s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC003_Register (With invalid method),,,,2022-07-18 08:49:34,2022-07-18 08:49:36,1.157s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC003_Register (With invalid method)""))",,,,2022-07-18 08:49:35,2022-07-18 08:49:36,0.665s,PASSED
"verifyResponseStatusCode(response, response_405, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:49:36,2022-07-18 08:49:36,0.000s,PASSED
"verifyElementPropertyValue(response, ""error"", method_now_allowed)",,,,2022-07-18 08:49:36,2022-07-18 08:49:36,0.052s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC004_Register (With invalid email format),,,,2022-07-18 08:49:36,2022-07-18 08:49:37,1.218s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC004_Register (With invalid email format)""))",,,,2022-07-18 08:49:36,2022-07-18 08:49:37,0.475s,PASSED
"verifyResponseStatusCode(response, response_400, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:49:37,2022-07-18 08:49:37,0.005s,PASSED
"verifyElementPropertyValue(response, ""errors.message.email"", invalid_email_format)",,,,2022-07-18 08:49:37,2022-07-18 08:49:37,0.040s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC001_Register/TCC005_Register (With registered email),,,,2022-07-18 08:49:37,2022-07-18 08:49:39,2.005s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC001_Register/TC005_Register (With registered email)""))",,,,2022-07-18 08:49:37,2022-07-18 08:49:39,1.418s,PASSED
"verifyResponseStatusCode(response, response_500, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:49:39,2022-07-18 08:49:39,0.015s,PASSED
"verifyElementPropertyValue(response, ""error"", internal_server_error)",,,,2022-07-18 08:49:39,2022-07-18 08:49:39,0.065s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC001_Login (With valid body value),,,,2022-07-18 08:49:39,2022-07-18 08:49:41,2.123s,PASSED
"response = sendRequest(findTestObject(""01_API/01_User/SC002_Login/TC001_Login (With valid body value)""))",,,,2022-07-18 08:49:39,2022-07-18 08:49:41,1.560s,PASSED
"verifyResponseStatusCode(response, response_200, CONTINUE_ON_FAILURE)",,,,2022-07-18 08:49:41,2022-07-18 08:49:41,0.000s,PASSED
"verifyElementPropertyValue(response, ""status"", ""true"")",,,,2022-07-18 08:49:41,2022-07-18 08:49:41,0.073s,PASSED
,,,,,,,
Test Cases/01_API/01_User/SC002_Login/TCC002_Login (With empty body value),,,,2022-07-18 08:49:41,2022-07-18 08:49:42,1.021s,PASSED
