Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_Web,Chrome 103.0.5060.114,,,2022-07-18 09:57:36,2022-07-18 10:11:42,14m - 6.027s,FAILED
,,,,,,,
Test Cases/02_Web/01_Landing Page/SC001_Contact Us/Contact Us,Chrome 103.0.5060.114,,,2022-07-18 09:57:36,2022-07-18 09:57:55,18.993s,PASSED
openBrowser(url_website),Chrome 103.0.5060.114,,,2022-07-18 09:57:37,2022-07-18 09:57:43,6.471s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-18 09:57:43,2022-07-18 09:57:44,0.245s,PASSED
"for ([i = 1, i <= 3, (i++)])",Chrome 103.0.5060.114,,,2022-07-18 09:57:44,2022-07-18 09:57:55,10.931s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 09:57:55,2022-07-18 09:57:55,0.735s,PASSED
,,,,,,,
Test Cases/02_Web/02_Auth/SC002_Sign Up/Sign Up,Chrome 103.0.5060.114,,,2022-07-18 09:57:55,2022-07-18 09:59:13,1m - 17.284s,PASSED
openBrowser(url_website),Chrome 103.0.5060.114,,,2022-07-18 09:57:56,2022-07-18 09:57:59,3.040s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-18 09:57:59,2022-07-18 09:57:59,0.148s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC002_Sign Up/button_Sign up""))",Chrome 103.0.5060.114,,,2022-07-18 09:57:59,2022-07-18 09:57:59,0.510s,PASSED
"for ([i = 1, i <= 9, (i++)])",Chrome 103.0.5060.114,,,2022-07-18 09:57:59,2022-07-18 09:59:12,1m - 12.294s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 09:59:12,2022-07-18 09:59:13,0.885s,PASSED
,,,,,,,
Test Cases/02_Web/02_Auth/SC003_Sign In/Sign In,Chrome 103.0.5060.114,,,2022-07-18 09:59:13,2022-07-18 09:59:40,27.299s,PASSED
openBrowser(url_website),Chrome 103.0.5060.114,,,2022-07-18 09:59:13,2022-07-18 09:59:16,3.114s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-18 09:59:16,2022-07-18 09:59:16,0.185s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC003_Sign In/button_Login""))",Chrome 103.0.5060.114,,,2022-07-18 09:59:16,2022-07-18 09:59:17,0.546s,PASSED
"for ([i = 1, i <= 5, (i++)])",Chrome 103.0.5060.114,,,2022-07-18 09:59:17,2022-07-18 09:59:39,22.262s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 09:59:39,2022-07-18 09:59:40,0.786s,PASSED
,,,,,,,
Test Cases/02_Web/02_Auth/SC004_Logout/TC001_Logout,Chrome 103.0.5060.114,,,2022-07-18 09:59:40,2022-07-18 09:59:54,14.126s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 09:59:40,2022-07-18 09:59:46,6.029s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC004_Logout/account""))",Chrome 103.0.5060.114,,,2022-07-18 09:59:46,2022-07-18 09:59:51,5.132s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC004_Logout/button_logout""))",Chrome 103.0.5060.114,,,2022-07-18 09:59:51,2022-07-18 09:59:52,0.435s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC004_Logout/button_oklogout""))",Chrome 103.0.5060.114,,,2022-07-18 09:59:52,2022-07-18 09:59:53,0.938s,PASSED
"verifyElementPresent(findTestObject(""02_Web/02_Auth/SC004_Logout/menu_login""), 0, CONTINUE_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 09:59:53,2022-07-18 09:59:53,0.483s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 09:59:53,2022-07-18 09:59:54,0.765s,PASSED
,,,,,,,
Test Cases/02_Web/03_Home/SC005_Create Class/Create Class,Chrome 103.0.5060.114,,,2022-07-18 09:59:54,2022-07-18 10:00:20,25.608s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 09:59:54,2022-07-18 10:00:00,5.773s,PASSED
"click(findTestObject(""02_Web/03_Home/SC005_Create Class/button_add""))",Chrome 103.0.5060.114,,,2022-07-18 10:00:00,2022-07-18 10:00:07,6.921s,PASSED
"click(findTestObject(""02_Web/03_Home/SC005_Create Class/button_Create Class""))",Chrome 103.0.5060.114,,,2022-07-18 10:00:07,2022-07-18 10:00:07,0.401s,PASSED
"for ([i = 1, i <= 3, (i++)])",Chrome 103.0.5060.114,,,2022-07-18 10:00:07,2022-07-18 10:00:19,11.431s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:00:19,2022-07-18 10:00:20,0.784s,PASSED
,,,,,,,
Test Cases/02_Web/03_Home/SC006_Join Class/Join Class,Chrome 103.0.5060.114,,,2022-07-18 10:00:20,2022-07-18 10:01:10,50.087s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:00:20,2022-07-18 10:00:26,5.624s,PASSED
"click(findTestObject(""02_Web/03_Home/SC006_Join Class/button_Join Class""))",Chrome 103.0.5060.114,,,2022-07-18 10:00:26,2022-07-18 10:00:58,32.006s,PASSED
"for ([i = 1, i <= 3, (i++)])",Chrome 103.0.5060.114,,,2022-07-18 10:00:58,2022-07-18 10:01:09,11.273s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:01:09,2022-07-18 10:01:10,0.856s,PASSED
,,,,,,,
Test Cases/02_Web/03_Home/SC008_Active Class/TC001_View All Active Class,Chrome 103.0.5060.114,,,2022-07-18 10:01:10,2022-07-18 10:01:25,15.692s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:01:10,2022-07-18 10:01:16,5.724s,PASSED
"click(findTestObject(""02_Web/03_Home/SC008_Active Class/a_view all""))",Chrome 103.0.5060.114,,,2022-07-18 10:01:16,2022-07-18 10:01:22,5.857s,PASSED
"waitForElementPresent(findTestObject(""02_Web/03_Home/SC008_Active Class/div_AllClass StudentClass Teacher""), 0)",Chrome 103.0.5060.114,,,2022-07-18 10:01:22,2022-07-18 10:01:25,3.065s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:01:25,2022-07-18 10:01:25,0.750s,PASSED
,,,,,,,
Test Cases/02_Web/04_My Class/SC009_Class List/TC001_View Detail Class in My Class,Chrome 103.0.5060.114,,,2022-07-18 10:01:25,2022-07-18 10:01:45,19.607s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:01:26,2022-07-18 10:01:31,5.615s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/menu_sidebar""))",Chrome 103.0.5060.114,,,2022-07-18 10:01:31,2022-07-18 10:01:37,5.757s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/a_my class""))",Chrome 103.0.5060.114,,,2022-07-18 10:01:37,2022-07-18 10:01:38,0.472s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/a_All""))",Chrome 103.0.5060.114,,,2022-07-18 10:01:38,2022-07-18 10:01:41,3.213s,PASSED
"class_name = getText(findTestObject(""02_Web/04_My Class/SC009_Class List/class_name_myclass""), STOP_ON_FAILURE).toUpperCase()",Chrome 103.0.5060.114,,,2022-07-18 10:01:41,2022-07-18 10:01:41,0.391s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/all_class_object""))",Chrome 103.0.5060.114,,,2022-07-18 10:01:41,2022-07-18 10:01:42,0.488s,PASSED
"verifyElementText(findTestObject(""02_Web/04_My Class/SC009_Class List/class_name_detail""), class_name, CONTINUE_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:01:42,2022-07-18 10:01:44,2.532s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:01:44,2022-07-18 10:01:45,0.778s,PASSED
,,,,,,,
Test Cases/02_Web/04_My Class/SC009_Class List/TC002_View Detail Student Class in My Class,Chrome 103.0.5060.114,,,2022-07-18 10:01:45,2022-07-18 10:02:34,48.910s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:01:45,2022-07-18 10:01:51,5.794s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/menu_sidebar""))",Chrome 103.0.5060.114,,,2022-07-18 10:01:51,2022-07-18 10:01:57,5.774s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/a_my class""))",Chrome 103.0.5060.114,,,2022-07-18 10:01:57,2022-07-18 10:01:57,0.471s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/a_Student""))",Chrome 103.0.5060.114,,,2022-07-18 10:01:57,2022-07-18 10:02:01,3.208s,PASSED
"class_name = getText(findTestObject(""02_Web/04_My Class/SC009_Class List/class_name_myclass""), STOP_ON_FAILURE).toUpperCase()",Chrome 103.0.5060.114,,,2022-07-18 10:02:01,2022-07-18 10:02:01,0.496s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/all_class_object""))",Chrome 103.0.5060.114,,,2022-07-18 10:02:01,2022-07-18 10:02:02,0.469s,PASSED
"verifyElementText(findTestObject(""02_Web/04_My Class/SC009_Class List/class_name_detail""), class_name, CONTINUE_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:02:02,2022-07-18 10:02:33,31.540s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:02:33,2022-07-18 10:02:34,0.813s,PASSED
,,,,,,,
Test Cases/02_Web/04_My Class/SC009_Class List/TC003_View Detail Teacher Class in My Class,Chrome 103.0.5060.114,,,2022-07-18 10:02:34,2022-07-18 10:02:55,20.866s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:02:34,2022-07-18 10:02:41,6.992s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/menu_sidebar""))",Chrome 103.0.5060.114,,,2022-07-18 10:02:41,2022-07-18 10:02:47,5.977s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/a_my class""))",Chrome 103.0.5060.114,,,2022-07-18 10:02:47,2022-07-18 10:02:48,0.486s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/a_Teacher""))",Chrome 103.0.5060.114,,,2022-07-18 10:02:48,2022-07-18 10:02:51,3.287s,PASSED
"class_name = getText(findTestObject(""02_Web/04_My Class/SC009_Class List/class_name_myclass""), STOP_ON_FAILURE).toUpperCase()",Chrome 103.0.5060.114,,,2022-07-18 10:02:51,2022-07-18 10:02:51,0.493s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/all_class_object""))",Chrome 103.0.5060.114,,,2022-07-18 10:02:51,2022-07-18 10:02:52,0.463s,PASSED
"verifyElementText(findTestObject(""02_Web/04_My Class/SC009_Class List/class_name_detail""), class_name, CONTINUE_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:02:52,2022-07-18 10:02:54,2.111s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:02:54,2022-07-18 10:02:55,0.728s,PASSED
,,,,,,,
