Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_Web,Chrome 103.0.5060.114,,,2022-07-18 10:19:17,2022-07-18 10:30:27,11m - 10.336s,PASSED
,,,,,,,
Test Cases/02_Web/01_Landing Page/SC001_Contact Us/Contact Us,Chrome 103.0.5060.114,,,2022-07-18 10:19:17,2022-07-18 10:19:37,20.032s,PASSED
openBrowser(url_website),Chrome 103.0.5060.114,,,2022-07-18 10:19:18,2022-07-18 10:19:24,6.443s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-18 10:19:24,2022-07-18 10:19:24,0.264s,PASSED
"for ([i = 1, i <= 3, (i++)])",Chrome 103.0.5060.114,,,2022-07-18 10:19:24,2022-07-18 10:19:36,11.892s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:19:36,2022-07-18 10:19:37,0.801s,PASSED
,,,,,,,
Test Cases/02_Web/02_Auth/SC002_Sign Up/Sign Up,Chrome 103.0.5060.114,,,2022-07-18 10:19:37,2022-07-18 10:20:55,1m - 17.544s,PASSED
openBrowser(url_website),Chrome 103.0.5060.114,,,2022-07-18 10:19:38,2022-07-18 10:19:40,2.736s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-18 10:19:40,2022-07-18 10:19:40,0.160s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC002_Sign Up/button_Sign up""))",Chrome 103.0.5060.114,,,2022-07-18 10:19:40,2022-07-18 10:19:41,0.531s,PASSED
"for ([i = 1, i <= 9, (i++)])",Chrome 103.0.5060.114,,,2022-07-18 10:19:41,2022-07-18 10:20:54,1m - 12.871s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:20:54,2022-07-18 10:20:55,0.814s,PASSED
,,,,,,,
Test Cases/02_Web/02_Auth/SC003_Sign In/Sign In,Chrome 103.0.5060.114,,,2022-07-18 10:20:55,2022-07-18 10:21:22,26.899s,PASSED
openBrowser(url_website),Chrome 103.0.5060.114,,,2022-07-18 10:20:55,2022-07-18 10:20:58,2.933s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 103.0.5060.114,,,2022-07-18 10:20:58,2022-07-18 10:20:58,0.177s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC003_Sign In/button_Login""))",Chrome 103.0.5060.114,,,2022-07-18 10:20:58,2022-07-18 10:20:59,0.558s,PASSED
"for ([i = 1, i <= 5, (i++)])",Chrome 103.0.5060.114,,,2022-07-18 10:20:59,2022-07-18 10:21:21,21.943s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:21:21,2022-07-18 10:21:22,0.880s,PASSED
,,,,,,,
Test Cases/02_Web/02_Auth/SC004_Logout/TC001_Logout,Chrome 103.0.5060.114,,,2022-07-18 10:21:22,2022-07-18 10:21:36,14.266s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:21:22,2022-07-18 10:21:28,6.209s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC004_Logout/account""))",Chrome 103.0.5060.114,,,2022-07-18 10:21:28,2022-07-18 10:21:33,5.077s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC004_Logout/button_logout""))",Chrome 103.0.5060.114,,,2022-07-18 10:21:33,2022-07-18 10:21:34,0.398s,PASSED
"click(findTestObject(""02_Web/02_Auth/SC004_Logout/button_oklogout""))",Chrome 103.0.5060.114,,,2022-07-18 10:21:34,2022-07-18 10:21:35,0.980s,PASSED
"verifyElementPresent(findTestObject(""02_Web/02_Auth/SC004_Logout/menu_login""), 0, CONTINUE_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:21:35,2022-07-18 10:21:35,0.446s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:21:35,2022-07-18 10:21:36,0.809s,PASSED
,,,,,,,
Test Cases/02_Web/03_Home/SC005_Create Class/Create Class,Chrome 103.0.5060.114,,,2022-07-18 10:21:36,2022-07-18 10:22:01,24.668s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:21:36,2022-07-18 10:21:42,5.803s,PASSED
"click(findTestObject(""02_Web/03_Home/SC005_Create Class/button_add""))",Chrome 103.0.5060.114,,,2022-07-18 10:21:42,2022-07-18 10:21:47,5.274s,PASSED
"click(findTestObject(""02_Web/03_Home/SC005_Create Class/button_Create Class""))",Chrome 103.0.5060.114,,,2022-07-18 10:21:47,2022-07-18 10:21:48,0.387s,PASSED
"for ([i = 1, i <= 3, (i++)])",Chrome 103.0.5060.114,,,2022-07-18 10:21:48,2022-07-18 10:22:00,11.897s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:22:00,2022-07-18 10:22:01,0.884s,PASSED
,,,,,,,
Test Cases/02_Web/03_Home/SC006_Join Class/Join Class,Chrome 103.0.5060.114,,,2022-07-18 10:22:01,2022-07-18 10:22:51,50.131s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:22:01,2022-07-18 10:22:07,5.721s,PASSED
"click(findTestObject(""02_Web/03_Home/SC006_Join Class/button_Join Class""))",Chrome 103.0.5060.114,,,2022-07-18 10:22:07,2022-07-18 10:22:38,31.658s,PASSED
"for ([i = 1, i <= 3, (i++)])",Chrome 103.0.5060.114,,,2022-07-18 10:22:38,2022-07-18 10:22:50,11.502s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:22:50,2022-07-18 10:22:51,0.934s,PASSED
,,,,,,,
Test Cases/02_Web/03_Home/SC008_Active Class/TC001_View All Active Class,Chrome 103.0.5060.114,,,2022-07-18 10:22:51,2022-07-18 10:23:07,15.917s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:22:51,2022-07-18 10:22:57,5.637s,PASSED
"click(findTestObject(""02_Web/03_Home/SC008_Active Class/a_view all""))",Chrome 103.0.5060.114,,,2022-07-18 10:22:57,2022-07-18 10:23:03,6.011s,PASSED
"waitForElementPresent(findTestObject(""02_Web/03_Home/SC008_Active Class/div_AllClass StudentClass Teacher""), 0)",Chrome 103.0.5060.114,,,2022-07-18 10:23:03,2022-07-18 10:23:06,3.106s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:23:06,2022-07-18 10:23:07,0.797s,PASSED
,,,,,,,
Test Cases/02_Web/04_My Class/SC009_Class List/TC001_View Detail Class in My Class,Chrome 103.0.5060.114,,,2022-07-18 10:23:07,2022-07-18 10:23:26,19.388s,PASSED
"callTestCase(findTestCase(""02_Web/signin""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:23:07,2022-07-18 10:23:13,5.671s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/menu_sidebar""))",Chrome 103.0.5060.114,,,2022-07-18 10:23:13,2022-07-18 10:23:19,5.970s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/a_my class""))",Chrome 103.0.5060.114,,,2022-07-18 10:23:19,2022-07-18 10:23:19,0.437s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/a_All""))",Chrome 103.0.5060.114,,,2022-07-18 10:23:19,2022-07-18 10:23:22,3.064s,PASSED
"class_name = getText(findTestObject(""02_Web/04_My Class/SC009_Class List/class_name_myclass""), STOP_ON_FAILURE).toUpperCase()",Chrome 103.0.5060.114,,,2022-07-18 10:23:22,2022-07-18 10:23:22,0.405s,PASSED
"click(findTestObject(""02_Web/04_My Class/SC009_Class List/all_class_object""))",Chrome 103.0.5060.114,,,2022-07-18 10:23:22,2022-07-18 10:23:23,0.449s,PASSED
"verifyElementText(findTestObject(""02_Web/04_My Class/SC009_Class List/class_name_detail""), class_name, CONTINUE_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-18 10:23:23,2022-07-18 10:23:25,2.263s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-18 10:23:25,2022-07-18 10:23:26,0.814s,PASSED
,,,,,,,
